lead_id,domain,company_name,source,source_url,date_sourced,contact_name,contact_title,contact_linkedin,contact_email,email_confidence,industry,employee_count,employee_range,hq_country,hq_city,geo_tier,funding_stage,last_funding_date,total_funding_usd,arr_estimate_usd,company_linkedin,company_description,uses_llm_in_prod,tech_stack_raw,has_kubernetes,has_ray_or_wandb,has_snowflake,github_org_url,github_ai_repo_count,github_stars_top_repo,is_hiring_ml_eng,linkedin_post_30d,linkedin_post_topic,news_signal,score_total,score_tier,disqualified,disqualify_reason,outreach_email_v1,outreach_linkedin_v1,ab_variant,notes
,huggingface.co,Hugging Face,github,https://github.com/huggingface,2026-04-18,Julien Chaumond,CTO,https://linkedin.com/in/julienchaumond,,0.0,Other,500,201-500,US,New York,US,Series D,2023-08-23,235000000,>$50M,https://linkedin.com/company/huggingface,Hugging Face hosts the largest open-source ML model hub with inference APIs.,TRUE,Kubernetes;GCP;AWS;vLLM;Ray;Triton,TRUE,TRUE,FALSE,https://github.com/huggingface,45,120000,,,,,,FALSE,,,,
,replicate.com,Replicate,github,https://github.com/replicate,2026-04-18,Andreas Jansson,CTO,https://linkedin.com/in/andreasjansson,,0.0,Other,200,201-500,US,San Francisco,US,Series B,2023-04-04,40000000,>$10M,https://linkedin.com/company/replicate,Replicate runs open-source ML models via a cloud API for developers.,TRUE,Kubernetes;GCP;AWS;vLLM;Triton,TRUE,FALSE,FALSE,https://github.com/replicate,8,6000,,,,,,TRUE,competitor,,,
,modal.com,Modal Labs,github,https://github.com/modal-labs,2026-04-18,Erik Bernhardsson,CTO,https://linkedin.com/in/erikbernhardsson,,0.0,Other,200,201-500,US,New York,US,Series A,2023-06-08,16000000,>$5M,https://linkedin.com/company/modal-labs,Modal is a serverless cloud for running Python and ML workloads.,TRUE,Kubernetes;GCP;AWS;Ray,TRUE,TRUE,FALSE,https://github.com/modal-labs,5,2400,,,,,,TRUE,competitor,,,
,lancedb.com,LanceDB,github,https://github.com/lancedb,2026-04-18,Chang She,CTO,https://linkedin.com/in/changshe,,0.0,Other,200,201-500,US,San Jose,US,Series A,2023-10-12,10000000,>$5M,https://linkedin.com/company/lancedb,LanceDB is an embedded vector database for AI applications with Lance format.,TRUE,Kubernetes;GCP;AWS;Ray,TRUE,TRUE,FALSE,https://github.com/lancedb,4,3500,,,,,,FALSE,,,,
,chroma.run,Chroma,github,https://github.com/chroma-core,2026-04-18,Jeff Huber,CTO,https://linkedin.com/in/jeffhuber,,0.0,Other,200,201-500,US,San Francisco,US,Series A,2023-09-14,18000000,>$5M,https://linkedin.com/company/chroma-core,Chroma is an open-source AI-native embedding database for LLM applications.,TRUE,Kubernetes;GCP;AWS;OpenAI;Anthropic,TRUE,FALSE,FALSE,https://github.com/chroma-core,3,12000,,,,,,FALSE,,,,
,weaviate.io,Weaviate,github,https://github.com/weaviate,2026-04-18,Etienne Dilocker,CTO,https://linkedin.com/in/etiennedilocker,,0.0,Other,300,201-500,NL,Amsterdam,EU_UK,Series B,2023-04-11,50000000,>$10M,https://linkedin.com/company/weaviate,Weaviate is an open-source vector database for semantic search and RAG applications.,TRUE,Kubernetes;GCP;AWS;Ray;OpenAI,TRUE,TRUE,FALSE,https://github.com/weaviate,6,9200,,,,,,FALSE,,,,
,milvus.io,Zilliz,github,https://github.com/zilliztech,2026-04-18,Charles Xie,CTO,https://linkedin.com/in/xicharles,,0.0,Other,300,201-500,US,Redwood City,US,Series B,2022-08-24,60000000,>$10M,https://linkedin.com/company/zilliz,Zilliz is the company behind Milvus open-source vector database for AI workloads.,TRUE,Kubernetes;GCP;AWS;Ray;Triton,TRUE,TRUE,FALSE,https://github.com/zilliztech,7,26000,,,,,,FALSE,,,,
,motherduck.com,MotherDuck,github,https://github.com/motherduckdb,2026-04-18,Jordan Tigani,CTO,https://linkedin.com/in/jordantigani,,0.0,Other,200,201-500,US,Seattle,US,Series B,2023-06-08,52000000,>$10M,https://linkedin.com/company/motherduck,MotherDuck is a serverless analytics platform built on DuckDB for fast in-process queries.,TRUE,Kubernetes;GCP;AWS;Snowflake,TRUE,FALSE,FALSE,https://github.com/motherduckdb,3,1800,,,,,,FALSE,,,,
,astronomer.io,Astronomer,github,https://github.com/astronomer,2026-04-18,Viraj Parekh,CTO,https://linkedin.com/in/virajparekh,,0.0,Other,500,201-500,US,San Francisco,US,Series C,2022-10-12,213000000,>$50M,https://linkedin.com/company/astronomer,Astronomer is the commercial distribution of Apache Airflow for data orchestration.,TRUE,Kubernetes;GCP;AWS;Snowflake;dbt;Databricks,TRUE,FALSE,TRUE,https://github.com/astronomer,6,4000,,,,,,FALSE,,,,
,dagster.io,Dagster Labs,github,https://github.com/dagster-io,2026-04-18,Sandy Ryza,CTO,https://linkedin.com/in/sandyryza,,0.0,Other,300,201-500,US,San Francisco,US,Series C,2023-02-23,75000000,>$20M,https://linkedin.com/company/dagster-labs,Dagster is an open-source data orchestration platform for ML and data engineering.,TRUE,Kubernetes;GCP;AWS;Snowflake;dbt,TRUE,FALSE,FALSE,https://github.com/dagster-io,5,9000,,,,,,FALSE,,,,
